L077|Staff Changing & Locker Facility|Staff Services Block|Support|5.6353|-0.1972
L078|Medical Gas Plant|Engineering Services Block|Support|5.6348|-0.1976
L079|Backup Generator & Power Station|Engineering Services Block|Support|5.6343|-0.1980
L080|Water Treatment & Utility Plant|Engineering Services Block|Support|5.6338|-0.1984
L081|Central Oxygen Supply Station|Engineering Services Block|Support|5.6333|-0.1988
L082|Medical Equipment Maintenance Workshop|Technical Services Block|Technology|5.6328|-0.1992
L083|Hospital Network Operations Centre|Technology Services Block|Technology|5.6323|-0.1996
L084|Cybersecurity Operations Office|Technology Services Block|Technology|5.6318|-0.2000
L085|Health Information Systems Office|Technology Services Block|Technology|5.6313|-0.2004
L086|Telemedicine & Virtual Care Centre|Technology Services Block|Technology|5.6308|-0.2008
L087|Patient Billing & Accounts Office|Finance & Administration Block|Administrative|5.6303|-0.2012
L088|Finance & Revenue Department|Finance & Administration Block|Administrative|5.6298|-0.2016
L089|Procurement & Supply Chain Office|Logistics Block|Administrative|5.6293|-0.2020
L090|Human Resources Department|Admin Block|Administrative|5.6288|-0.2024
L091|Legal & Compliance Office|Admin Block|Administrative|5.6283|-0.2028
L092|Quality Assurance & Patient Safety Unit|Clinical Governance Block|Administrative|5.6278|-0.2032
L093|Customer Service & Patient Relations Desk|Main Clinical Complex|Administrative|5.6273|-0.2036
L094|Health Insurance Claims Office|Finance & Administration Block|Administrative|5.6268|-0.2040
L095|Medical Social Work Department|Community Services Block|Support|5.6263|-0.2044
L096|Patient Transport Services Unit|Perimeter & Logistics|Support|5.6258|-0.2048
L097|Mortuary & Pathology Support Centre|Pathology Complex|Support|5.6253|-0.2052
L098|Fire Safety & Emergency Response Unit|Security & Safety Block|Security|5.6248|-0.2056
L099|Security Control Room|Security & Safety Block|Security|5.6243|-0.2060
L100|Visitor Information & Reception Centre|Main Entrance|Administrative|5.6238|-0.2064
